ds,y
9/12/2017 0:00,217806.96
9/13/2017 0:00,207481.24
9/14/2017 0:00,277347.38
9/15/2017 0:00,237687.06
9/16/2017 0:00,327435.11
9/17/2017 0:00,156650.24
9/18/2017 0:00,21315.38
9/19/2017 0:00,234827.78
9/20/2017 0:00,218203.89
9/21/2017 0:00,191678.49
9/22/2017 0:00,230074.3
9/23/2017 0:00,266190.52
9/24/2017 0:00,162483.31
9/25/2017 0:00,19058.19
9/26/2017 0:00,222774.65
9/27/2017 0:00,202986.37
9/28/2017 0:00,189430.76
9/29/2017 0:00,206534.31
9/30/2017 0:00,322413.61
10/1/2017 0:00,102734.72
10/2/2017 0:00,42429.34
10/3/2017 0:00,299210.05
10/4/2017 0:00,238520.47
10/5/2017 0:00,261307.64
10/6/2017 0:00,316988.16
10/7/2017 0:00,347138.92
10/8/2017 0:00,120241.35
10/10/2017 0:00,221309.19
10/11/2017 0:00,202451.63
10/12/2017 0:00,222999.18
10/13/2017 0:00,120372.58
10/14/2017 0:00,296033.26
10/15/2017 0:00,202819.7
10/16/2017 0:00,15727.87
10/17/2017 0:00,266655.92
10/18/2017 0:00,194390.13
10/19/2017 0:00,189118.89
10/20/2017 0:00,182204.2
10/21/2017 0:00,302592.17
10/22/2017 0:00,120140.07
10/23/2017 0:00,14136.07
10/24/2017 0:00,254886.52
10/25/2017 0:00,149991.5
10/26/2017 0:00,257670.06
10/27/2017 0:00,297099.71
10/28/2017 0:00,347852.53
10/29/2017 0:00,156231.38
10/30/2017 0:00,22211.43
10/31/2017 0:00,209589.07
11/1/2017 0:00,210644.03
11/2/2017 0:00,179738.45
11/3/2017 0:00,214423.3
11/4/2017 0:00,321235.98
11/5/2017 0:00,156850.47
11/6/2017 0:00,12113.87
11/7/2017 0:00,219806.9
11/8/2017 0:00,206401.67
11/9/2017 0:00,165548.65
11/10/2017 0:00,227273.93
11/11/2017 0:00,103019.19
11/12/2017 0:00,265264.31
11/13/2017 0:00,23272.92
11/14/2017 0:00,276826.62
11/15/2017 0:00,178958.93
11/16/2017 0:00,288648.67
11/17/2017 0:00,171800.63
11/18/2017 0:00,309348.31
11/19/2017 0:00,182026.13
11/20/2017 0:00,41462.04
11/21/2017 0:00,288906.5
11/22/2017 0:00,210477.63
11/23/2017 0:00,196873.32
11/24/2017 0:00,238623.47
11/25/2017 0:00,334386.66
11/26/2017 0:00,276948.37
11/27/2017 0:00,35599.76
11/28/2017 0:00,326277.21
11/29/2017 0:00,291492.52
11/30/2017 0:00,263960.31
12/1/2017 0:00,327658.58
